total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;ignored;workload;world_nr;tick_nr
1;8;0;0;0;0.12;1;435
1;8;0;0;0;0.12;1;436
1;8;0;0;0;0.12;1;437
1;8;0;0;0;0.12;1;438
1;8;0;0;0;0.12;1;439
1;8;0;0;0;0.12;1;440
1;8;0;0;0;0.12;1;441
1;8;0;0;0;0.12;1;442
1;8;0;0;0;0.12;1;443
1;8;0;0;0;0.12;1;444
1;8;0;0;0;0.12;1;445
1;8;0;0;0;0.12;1;446
1;8;0;0;0;0.12;1;447
1;8;0;0;0;0.12;1;448
1;8;0;0;0;0.12;1;449
1;8;0;0;0;0.12;1;450
1;8;0;0;0;0.12;1;451
1;8;0;0;0;0.12;1;452
1;8;0;0;0;0.12;1;453
1;8;0;0;0;0.12;1;454
1;8;0;0;0;0.12;1;455
1;8;0;0;0;0.12;1;456
1;8;0;0;0;0.12;1;457
1;8;0;0;0;0.12;1;458
1;8;0;0;0;0.12;1;459
1;8;0;0;0;0.12;1;460
1;8;0;0;0;0.12;1;461
1;8;0;0;0;0.12;1;462
1;8;0;0;0;0.12;1;463
1;8;0;0;0;0.12;1;464
1;8;0;0;0;0.12;1;465
1;8;0;0;0;0.12;1;466
1;8;0;0;0;0.12;1;467
1;8;0;0;0;0.12;1;468
1;8;0;0;0;0.12;1;469
1;8;0;0;0;0.12;1;470
1;8;0;0;0;0.12;1;471
1;8;0;0;0;0.12;1;472
1;9;0;0;0;0.13;1;473
1;9;0;0;0;0.13;1;474
1;9;0;0;0;0.13;1;475
1;9;0;0;0;0.13;1;476
1;9;0;0;0;0.13;1;477
1;9;0;0;0;0.13;1;478
1;9;0;0;0;0.13;1;479
1;9;0;0;0;0.13;1;480
1;9;0;0;0;0.13;1;481
1;9;0;0;0;0.13;1;482
1;9;0;0;0;0.13;1;483
1;9;0;0;0;0.13;1;484
1;9;0;0;0;0.13;1;485
1;9;0;0;0;0.13;1;486
1;9;0;0;0;0.13;1;487
1;9;0;0;0;0.13;1;488
1;9;0;0;0;0.13;1;489
1;9;0;0;0;0.13;1;490
1;9;0;0;0;0.13;1;491
1;9;0;0;0;0.13;1;492
1;9;0;0;0;0.13;1;493
1;9;0;0;0;0.13;1;494
1;9;0;0;0;0.13;1;495
1;9;0;0;0;0.13;1;496
1;9;0;0;0;0.13;1;497
1;9;0;0;0;0.13;1;498
1;9;0;0;0;0.13;1;499
1;9;0;0;0;0.13;1;500
1;9;0;0;0;0.13;1;501
1;9;0;0;0;0.13;1;502
1;9;0;0;0;0.13;1;503
1;9;0;0;0;0.13;1;504
1;9;0;0;0;0.13;1;505
1;9;0;0;0;0.13;1;506
1;9;0;0;0;0.13;1;507
1;9;0;0;0;0.13;1;508
1;9;0;0;0;0.13;1;509
1;9;0;0;0;0.13;1;510
1;9;0;0;0;0.13;1;511
1;9;0;0;0;0.13;1;512
1;9;0;0;0;0.13;1;513
1;9;0;0;0;0.13;1;514
1;9;0;0;0;0.13;1;515
1;9;0;0;0;0.13;1;516
1;9;0;0;0;0.13;1;517
1;9;0;0;0;0.13;1;518
1;9;0;0;0;0.13;1;519
1;9;0;0;0;0.13;1;520
1;9;0;0;0;0.13;1;521
1;9;0;0;0;0.13;1;522
1;9;0;0;0;0.13;1;523
1;9;0;0;0;0.13;1;524
1;9;0;0;0;0.13;1;525
1;9;0;0;0;0.13;1;526
1;9;0;0;0;0.13;1;527
1;9;0;0;0;0.13;1;528
1;9;0;0;0;0.13;1;529
1;9;0;0;0;0.13;1;530
1;9;0;0;0;0.13;1;531
1;9;0;0;0;0.13;1;532
1;9;0;0;0;0.13;1;533
1;9;0;0;0;0.13;1;534
1;9;0;0;0;0.13;1;535
1;9;0;0;0;0.13;1;536
1;9;0;0;0;0.13;1;537
1;9;0;0;0;0.13;1;538
1;9;0;0;0;0.13;1;539
1;9;0;0;0;0.13;1;540
1;9;0;0;0;0.13;1;541
1;9;0;0;0;0.13;1;542
1;9;0;0;0;0.13;1;543
1;9;0;0;0;0.13;1;544
1;9;0;0;0;0.13;1;545
1;9;0;0;0;0.13;1;546
1;9;0;0;0;0.13;1;547
1;9;0;0;0;0.13;1;548
1;9;0;0;0;0.13;1;549
1;9;0;0;0;0.13;1;550
1;9;0;0;0;0.13;1;551
1;9;0;0;0;0.13;1;552
1;9;0;0;0;0.13;1;553
1;9;0;0;0;0.13;1;554
1;9;0;0;0;0.13;1;555
1;9;0;0;0;0.13;1;556
1;9;0;0;0;0.13;1;557
1;9;0;0;0;0.13;1;558
1;9;0;0;0;0.13;1;559
1;9;0;0;0;0.13;1;560
1;9;0;0;0;0.13;1;561
1;9;0;0;0;0.13;1;562
1;9;0;0;0;0.13;1;563
1;9;0;0;0;0.13;1;564
1;9;0;0;0;0.13;1;565
1;9;0;0;0;0.13;1;566
1;9;0;0;0;0.13;1;567
1;9;0;0;0;0.13;1;568
1;9;0;0;0;0.13;1;569
1;9;0;0;0;0.13;1;570
1;9;0;0;0;0.13;1;571
1;9;0;0;0;0.13;1;572
1;9;0;0;0;0.13;1;573
1;9;0;0;0;0.13;1;574
1;9;0;0;0;0.13;1;575
1;9;0;0;0;0.13;1;576
1;9;0;0;0;0.13;1;577
1;9;0;0;0;0.13;1;578
1;9;0;0;0;0.13;1;579
1;9;0;0;0;0.13;1;580
1;9;0;0;0;0.13;1;581
1;9;0;0;0;0.13;1;582
1;9;0;0;0;0.13;1;583
1;9;0;0;0;0.13;1;584
1;9;0;0;0;0.13;1;585
1;9;0;0;0;0.13;1;586
2;9;0;0;0;0.13;1;587
2;9;0;0;0;0.13;1;588
2;9;0;0;0;0.13;1;589
2;9;0;0;0;0.13;1;590
2;9;0;0;0;0.13;1;591
2;9;0;0;0;0.13;1;592
2;9;0;0;0;0.13;1;593
2;9;0;0;0;0.13;1;594
2;9;0;0;0;0.13;1;595
2;9;0;0;0;0.13;1;596
2;9;0;0;0;0.13;1;597
2;9;0;0;0;0.13;1;598
2;9;0;0;0;0.13;1;599
2;9;0;0;0;0.13;1;600
2;9;0;0;0;0.13;1;601
2;9;0;0;0;0.13;1;602
2;9;0;0;0;0.13;1;603
2;9;0;0;0;0.13;1;604
2;9;0;0;0;0.13;1;605
2;9;0;0;0;0.13;1;606
2;9;0;0;0;0.13;1;607
2;9;0;0;0;0.13;1;608
2;9;0;0;0;0.13;1;609
2;9;0;0;0;0.13;1;610
2;9;0;0;0;0.13;1;611
2;9;0;0;0;0.13;1;612
2;9;0;0;0;0.13;1;613
2;9;0;0;0;0.13;1;614
2;9;0;0;0;0.13;1;615
2;9;0;0;0;0.13;1;616
2;9;0;0;0;0.13;1;617
2;9;0;0;0;0.13;1;618
2;9;0;0;0;0.13;1;619
2;9;0;0;0;0.13;1;620
2;9;0;0;0;0.13;1;621
2;9;0;0;0;0.13;1;622
2;9;0;0;0;0.13;1;623
2;9;0;0;0;0.13;1;624
2;9;0;0;0;0.13;1;625
2;9;0;0;0;0.13;1;626
2;9;0;0;0;0.13;1;627
2;9;0;0;0;0.13;1;628
2;9;0;0;0;0.13;1;629
2;9;0;0;0;0.13;1;630
2;9;0;0;0;0.13;1;631
2;9;0;0;0;0.13;1;632
2;9;0;0;0;0.13;1;633
2;9;0;0;0;0.13;1;634
2;9;0;0;0;0.13;1;635
2;9;0;0;0;0.13;1;636
2;9;0;0;0;0.13;1;637
2;9;0;0;0;0.13;1;638
2;9;0;0;0;0.13;1;639
2;9;0;0;0;0.13;1;640
2;9;0;0;0;0.13;1;641
2;9;0;0;0;0.13;1;642
2;9;0;0;0;0.13;1;643
2;9;0;0;0;0.13;1;644
2;9;0;0;0;0.13;1;645
2;9;0;0;0;0.13;1;646
2;9;0;0;0;0.13;1;647
2;9;0;0;0;0.13;1;648
2;9;0;0;0;0.13;1;649
2;9;0;0;0;0.13;1;650
2;9;0;0;0;0.13;1;651
2;9;0;0;0;0.13;1;652
2;9;0;0;0;0.13;1;653
2;9;0;0;0;0.13;1;654
2;9;0;0;0;0.13;1;655
2;9;0;0;0;0.13;1;656
2;9;0;0;0;0.13;1;657
2;9;0;0;0;0.13;1;658
2;9;0;0;0;0.13;1;659
2;9;0;0;0;0.13;1;660
2;9;0;0;0;0.13;1;661
2;9;0;0;0;0.13;1;662
2;9;0;0;0;0.13;1;663
2;9;0;0;0;0.13;1;664
2;9;0;0;0;0.13;1;665
2;9;0;0;0;0.13;1;666
2;9;0;0;0;0.13;1;667
2;9;0;0;0;0.13;1;668
2;9;0;0;0;0.13;1;669
2;9;0;0;0;0.13;1;670
2;9;0;0;0;0.13;1;671
2;9;0;0;0;0.13;1;672
2;10;0;0;0;0.14;1;673
2;10;0;0;0;0.14;1;674
2;10;0;0;0;0.14;1;675
2;10;0;0;0;0.14;1;676
2;10;0;0;0;0.14;1;677
2;10;0;0;0;0.14;1;678
2;10;0;0;0;0.14;1;679
2;10;0;0;0;0.14;1;680
2;10;0;0;0;0.14;1;681
2;10;0;0;0;0.14;1;682
2;10;0;0;0;0.14;1;683
2;10;0;0;0;0.14;1;684
2;10;0;0;0;0.14;1;685
2;10;0;0;0;0.14;1;686
2;10;0;0;0;0.14;1;687
2;10;0;0;0;0.14;1;688
2;10;0;0;0;0.14;1;689
2;10;0;0;0;0.14;1;690
2;10;0;0;0;0.14;1;691
2;10;0;0;0;0.14;1;692
2;10;0;0;0;0.14;1;693
2;10;0;0;0;0.14;1;694
2;10;0;0;0;0.14;1;695
2;10;0;0;0;0.14;1;696
2;10;0;0;0;0.14;1;697
2;10;0;0;0;0.14;1;698
2;10;0;0;0;0.14;1;699
2;10;0;0;0;0.14;1;700
2;10;0;0;0;0.14;1;701
2;10;0;0;0;0.14;1;702
2;10;0;0;0;0.14;1;703
2;10;0;0;0;0.14;1;704
2;10;0;0;0;0.14;1;705
2;10;0;0;0;0.14;1;706
2;10;0;0;0;0.14;1;707
2;10;0;0;0;0.14;1;708
2;10;0;0;0;0.14;1;709
2;10;0;0;0;0.14;1;710
2;10;0;0;0;0.14;1;711
2;10;0;0;0;0.14;1;712
2;10;0;0;0;0.14;1;713
2;10;0;0;0;0.14;1;714
2;10;0;0;0;0.14;1;715
2;10;0;0;0;0.14;1;716
2;10;0;0;0;0.14;1;717
2;10;0;0;0;0.14;1;718
2;10;0;0;0;0.14;1;719
2;10;0;0;0;0.14;1;720
2;10;0;0;0;0.14;1;721
